,city,country,latitude,longitude,temperature,humidity,cloudiness,windspeed
116,Mahebourg,MU,-20.41,57.7,78.4,69,40,10.29
117,Alofi,NU,-19.06,-169.92,86.0,74,56,9.17
118,Nouadhibou,MR,20.93,-17.03,62.6,63,0,23.04
119,Belaya Gora,RU,68.54,146.19,25.41,100,32,4.27
120,Butaritari,KI,3.07,172.79,79.77,100,92,8.41
121,Altayskoye,RU,51.95,85.34,38.91,85,68,12.44
122,Russell,AR,-33.01,-68.8,60.8,51,0,3.38
123,Hasaki,JP,35.73,140.83,66.34,63,75,8.05
124,Umba,RU,66.69,34.34,22.08,80,36,1.48
125,Airai,TL,-8.93,125.41,83.1,62,48,0.69
126,Awbari,LY,26.59,12.77,57.99,50,20,4.94
127,Powell,US,40.16,-83.08,52.05,81,1,6.29
128,Aklavik,CA,68.22,-135.01,15.8,52,40,8.05
129,Starobaltachevo,RU,56.0,55.92,28.11,78,0,4.61
130,Tocopilla,CL,-22.09,-70.2,60.87,100,0,1.59
131,Avarua,CK,-21.21,-159.78,80.6,69,36,12.75
132,Amethi,IN,26.76,81.16,71.6,73,75,9.17
133,Doha,QA,25.29,51.53,75.16,73,0,3.36
134,Harlingen,US,26.19,-97.7,75.81,83,90,6.93
135,Pisco,PE,-13.71,-76.2,73.4,78,0,2.24
136,Tuatapere,NZ,-46.13,167.69,60.01,52,0,1.01
137,Nome,US,30.04,-94.42,72.9,88,90,8.05
138,Saskylakh,RU,71.97,114.09,23.34,89,48,18.25
139,Saint George,GR,39.45,22.34,49.15,93,40,5.82
140,Severo-Kurilsk,RU,50.68,156.12,32.88,93,92,20.49
141,Rampura,IN,24.47,75.44,77.79,57,0,3.38
142,Geraldton,CA,49.72,-86.95,26.6,79,5,5.06
143,Hofn,IS,64.25,-15.21,36.93,100,76,19.37
144,Margate,AU,-43.03,147.26,68.92,32,75,23.04
145,Williams Lake,CA,52.13,-122.14,42.8,45,20,12.75
146,Ancud,CL,-41.87,-73.83,55.4,93,90,9.17
147,Santa Rosa de Viterbo,BR,-21.49,-47.37,68.27,94,90,5.82
148,Adrar,DZ,27.87,-0.29,60.8,41,0,14.99
149,Fort Nelson,CA,58.81,-122.69,30.2,80,90,2.24
150,Iqaluit,CA,63.75,-68.52,17.26,72,75,2.24
151,Ilulissat,GL,69.22,-51.1,37.4,47,76,33.33
152,Leningradskiy,RU,69.38,178.42,7.5,91,0,9.86
153,Cabo San Lucas,MX,22.89,-109.91,68.88,72,5,9.53
154,Tshikapa,CD,-6.42,20.79,71.31,97,68,3.83
155,Grand Gaube,MU,-20.01,57.66,78.78,69,40,10.29
156,Kroya,ID,-6.5,108.06,83.91,90,0,2.59
157,Kaitangata,NZ,-46.28,169.85,59.0,64,0,17.0
158,Cidreira,BR,-30.17,-50.22,69.96,95,80,8.63
159,Rorvik,NO,64.86,11.24,39.0,82,24,7.0
160,Imeni Poliny Osipenko,RU,52.42,136.49,35.85,76,68,10.09
161,Mankera,NG,13.01,5.07,83.55,52,44,10.31
162,Ust-Kulom,RU,61.69,53.69,29.1,92,0,5.84
163,Adamovka,RU,51.52,59.94,30.36,78,0,4.72
164,Senador Guiomard,BR,-10.15,-67.74,68.0,94,75,2.24
165,Samarai,PG,-10.62,150.67,78.33,100,92,2.59
166,Kabo,CF,7.69,18.62,85.08,49,88,3.38
167,Kupang,ID,-10.16,123.6,89.6,52,20,5.82
168,Coquimbo,CL,-29.95,-71.34,57.2,93,90,1.12
169,Novobiryusinskiy,RU,56.96,97.71,36.03,50,64,4.16
170,Illapel,CL,-31.63,-71.17,58.71,89,0,2.82
171,Meulaboh,ID,4.14,96.13,79.68,100,88,6.51
172,Ostersund,SE,63.18,14.64,33.8,92,88,9.17
173,Port Alfred,ZA,-33.59,26.89,61.0,92,12,5.01
174,Hobyo,SO,5.35,48.53,77.34,91,0,7.63
175,Newport,GB,51.59,-3.0,44.6,87,0,14.99
176,Flinders,AU,-34.58,150.85,77.83,51,0,10.29
177,Dayong,PH,11.74,122.04,81.75,96,20,14.0
178,San Patricio,PY,-26.98,-56.83,64.83,81,0,4.72
179,Praia da Vitoria,PT,38.73,-27.07,54.63,76,40,26.42
180,Umred,IN,20.85,79.32,87.8,45,0,6.93
181,Belyy Yar,RU,53.6,91.39,39.2,60,0,15.66
182,Lompoc,US,34.64,-120.46,57.43,93,20,6.93
183,Manacapuru,BR,-3.3,-60.62,78.8,88,20,3.36
184,Antalaha,MG,-14.9,50.28,77.61,88,24,9.19
185,Marienburg,DE,52.12,9.98,46.15,75,0,6.93
186,Sioux Lookout,CA,50.1,-91.92,35.6,51,20,4.7
187,La Tuque,CA,47.44,-72.79,35.13,84,76,6.4
188,Puri,ID,-7.54,112.45,87.8,66,40,2.24
189,Mocuba,MZ,-16.84,36.99,72.03,91,100,2.82
190,Puerto Escondido,MX,15.86,-97.07,78.8,74,5,12.75
191,Distraccion,CO,10.9,-72.89,86.0,48,75,16.11
192,Sao Filipe,CV,14.9,-24.5,70.95,96,0,15.01
193,Port Elizabeth,US,39.31,-74.98,50.16,93,1,5.17
194,Srednekolymsk,RU,67.46,153.71,21.0,75,0,3.27
195,Highland Springs,US,37.55,-77.33,52.97,100,90,3.15
196,Pavlodar,KZ,52.28,76.96,37.4,69,40,11.18
197,Lewistown,US,40.39,-90.15,59.05,72,1,5.82
198,Besancon,FR,47.25,6.02,42.03,93,76,2.24
199,Ikere,NG,7.49,5.23,75.36,93,0,5.95
200,Poronaysk,RU,49.22,143.1,40.26,64,64,5.84
201,Yuzhnyy,RU,53.54,39.45,21.54,81,0,2.93
202,Talnakh,RU,69.49,88.39,16.68,93,76,11.54
203,Fairbanks,US,64.84,-147.72,37.96,47,75,6.93
204,Saint-Denis,FR,48.94,2.36,46.38,66,0,5.82
205,Beyneu,KZ,45.32,55.19,48.45,70,76,14.67
206,San Pedro,AR,-33.68,-59.66,55.0,81,20,5.84
207,Solhan,TR,38.97,41.05,33.93,96,40,4.7
208,Oudtshoorn,ZA,-33.59,22.2,57.2,93,90,4.7
209,Am Timan,TD,11.04,20.28,71.22,23,0,7.63
210,Auki,NG,12.18,6.51,79.5,49,0,8.19
211,Socorro,PH,13.06,121.41,88.0,59,76,4.0
212,Tutoia,BR,-2.76,-42.27,73.11,100,92,4.5
213,Vilcun,CL,-38.65,-72.23,46.18,100,8,2.24
214,Isangel,VU,-19.55,169.27,82.4,58,40,14.99
215,Barrow,AR,-38.31,-60.23,60.6,51,0,12.77
216,Lagoa,PT,37.14,-8.45,52.79,71,40,11.41
217,Namibe,AO,-15.19,12.15,77.43,100,8,7.07
218,Guerrero Negro,MX,27.97,-114.04,61.77,80,0,12.55
219,Nuuk,GL,64.17,-51.74,37.4,55,0,10.29
220,Kaifeng,CN,34.8,114.35,68.0,24,0,8.95
221,Baker City,US,44.77,-117.83,44.04,81,90,11.41
222,Yongan,CN,39.7,113.69,58.53,40,20,5.95
223,Baherden,TM,38.44,57.43,53.04,100,88,4.16
224,Piracanjuba,BR,-17.3,-49.02,70.86,92,88,5.06
225,Yakuplu,TR,39.43,38.59,24.6,80,36,2.82
226,Hamilton,BM,32.3,-64.78,65.95,88,40,3.36
227,Peniche,PT,39.36,-9.38,53.06,76,75,3.36
228,Mutoko,ZW,-17.4,32.23,60.06,93,8,3.38
229,Nago,IT,45.88,10.89,46.96,93,40,3.36
230,Wanning,AT,48.64,13.53,39.42,86,20,4.7
231,Arandis,NA,-22.42,14.98,59.0,89,12,3.0
232,Los Llanos de Aridane,ES,28.66,-17.92,62.6,72,44,5.82
233,Kununurra,AU,-15.77,128.74,93.2,44,40,14.99
234,Brigantine,US,39.41,-74.36,48.22,93,1,4.94
235,Hirara,JP,24.8,125.28,78.8,74,20,6.93
236,Bambous Virieux,MU,-20.34,57.76,78.44,69,40,10.29
237,Ambanja,MG,-13.68,48.45,67.62,92,8,4.94
238,Tarrega,ES,41.65,1.14,41.23,93,8,2.24
239,Erzin,TR,36.95,36.2,58.24,87,75,3.36
240,Sinnamary,GF,5.38,-52.96,79.05,99,92,15.01
241,Saint-Pierre,FR,48.95,4.24,39.25,87,0,5.82
242,Nanakuli,US,21.39,-158.15,79.7,57,1,16.11
243,Tecpan,GT,14.76,-90.99,61.7,88,20,6.93
244,Port Hardy,CA,50.7,-127.42,42.8,93,90,6.93
245,Nuristan,UZ,38.49,65.64,60.8,72,0,2.24
246,Touros,BR,-5.2,-35.46,77.0,94,20,2.71
247,Chabahar,IR,25.29,60.65,78.42,91,12,8.75
248,Vao,EE,59.1,26.19,30.54,76,0,3.6
249,Dingle,PH,11.0,122.67,81.66,92,36,8.97
250,Puerto Leguizamo,CO,-0.19,-74.78,90.48,45,92,3.71
251,Mana,RS,43.52,20.24,43.75,81,0,2.24
252,Zhigansk,RU,66.77,123.37,32.88,71,0,3.38
253,Chapais,CA,49.78,-74.86,17.6,67,1,8.05
254,Robertsport,LR,6.75,-11.37,80.04,100,92,8.75
255,Kasrawad,IN,22.12,75.61,82.4,32,0,6.93
256,Tucuman,PE,-17.17,-70.89,52.05,88,0,2.26
257,North Bend,US,43.41,-124.22,52.29,93,90,5.82
258,Clyde River,CA,70.47,-68.59,6.8,84,56,23.04
259,Shima,JP,34.34,136.82,60.8,44,0,4.7
260,Banjar,ID,-7.37,108.54,81.21,82,20,3.71
261,Vila Velha,BR,-3.71,-38.6,80.01,83,75,1.12
262,Sampit,ID,-2.54,112.95,86.16,96,0,5.17
263,Kisangani,CD,0.52,25.21,74.1,98,12,2.37
264,Nogliki,RU,51.8,143.14,34.32,88,12,14.67
265,Qobustan,AZ,40.08,49.41,50.0,93,75,12.75
266,Anda,CN,46.41,125.33,47.1,62,0,8.86
267,Acapulco,MX,16.86,-99.88,77.0,88,5,6.93
268,Batagay-Alyta,RU,67.8,130.41,25.95,81,48,4.16
269,Vestmannaeyjar,IS,63.44,-20.27,36.93,94,64,13.78
270,Balkhash,KZ,46.84,74.98,39.2,64,0,15.66
271,Cody,US,44.53,-109.06,47.01,31,1,16.11
272,Moindou,NC,-21.69,165.68,78.8,65,24,9.17
273,Yulara,AU,-25.24,130.99,89.6,19,0,3.36
274,Sahuaripa,MX,29.05,-109.23,56.82,60,0,1.7
275,Totness,US,33.74,-80.8,60.28,100,1,5.17
276,Lake City,US,38.03,-107.32,38.25,64,1,4.7
277,Umtata,ZA,-31.59,28.78,57.2,93,48,4.7
278,Lavrentiya,RU,65.58,-170.99,17.94,99,8,11.21
279,Ballina,IE,54.11,-9.15,38.01,99,56,2.93
280,Gat,SN,14.69,-16.54,72.23,50,12,4.7
281,Souillac,FR,45.6,-0.6,37.8,100,0,4.7
282,Beboto,TD,8.27,16.94,74.01,67,32,2.82
283,Serenje,ZM,-13.23,30.22,63.57,76,24,9.19
284,Tepusteca,HN,15.42,-86.32,77.0,88,20,1.48
285,Ise,JP,34.5,136.72,67.89,44,0,4.7
286,Hinjilikatu,IN,19.48,84.75,83.64,65,0,5.17
287,Carnarvon,ZA,-30.97,22.13,48.72,76,20,8.63
288,Kirensk,RU,57.78,108.12,34.41,49,0,3.6
289,Makubetsu,JP,42.84,143.34,51.8,34,40,13.87
290,Ramanuj Ganj,IN,23.81,83.7,81.12,52,0,4.38
291,Kenitra,MA,34.26,-6.57,51.91,76,40,6.93
292,Esperance,TT,10.24,-61.45,75.0,78,20,4.7
293,Trairi,BR,-3.28,-39.27,78.6,100,92,7.52
294,Saravan,AM,39.72,45.65,44.6,93,92,2.24
295,Krasnovishersk,RU,60.4,57.08,21.63,77,0,5.73
296,Russellville,US,35.28,-93.13,61.79,100,1,4.72
297,Umm Kaddadah,SD,13.6,26.69,60.78,26,0,5.39
298,Aden,YE,12.79,45.03,80.58,97,0,12.44
299,Oistins,BB,13.07,-59.53,77.0,73,40,19.46
300,Altay,CN,47.83,88.13,29.82,79,0,0.69
301,Cherskiy,RU,68.75,161.3,19.11,73,0,1.92
302,Hof,DE,50.32,11.92,39.18,72,0,4.94
303,Neyshabur,IR,36.21,58.79,49.08,96,64,3.6
304,Port Blair,IN,11.67,92.75,84.2,74,20,2.24
305,Faanui,PF,-16.48,-151.75,85.35,98,80,16.02
306,Nanortalik,GL,60.14,-45.24,32.34,95,80,13.33
307,Redcar,GB,54.62,-1.06,44.2,93,75,8.05
308,Tevriz,RU,57.51,72.4,27.21,75,0,3.83
309,Rafraf,TN,37.19,10.18,43.74,100,20,3.36
310,Jatai,IN,28.97,76.18,79.5,52,0,4.5
311,Ziarat,PK,30.38,67.73,53.58,66,44,3.15
312,Vega de Alatorre,MX,20.03,-96.65,73.83,78,92,2.37
313,Dombarovskiy,RU,50.76,59.54,25.86,84,0,3.94
314,Sheridan,US,39.65,-105.03,55.54,37,75,9.17
315,Akranes,IS,64.32,-22.07,33.46,59,0,8.05
316,Erenhot,CN,43.65,111.97,41.16,49,48,16.13
317,Arica,CL,-18.48,-70.32,66.87,77,0,2.71
318,Tangkak,MY,2.27,102.54,87.3,66,75,8.05
319,Alcaniz,ES,41.05,-0.13,45.0,56,20,15.01
320,Kruisfontein,ZA,-34.0,24.73,59.34,83,0,10.42
321,Takoradi,GH,4.89,-1.75,82.74,95,44,9.42
322,Punto Fijo,VE,11.69,-70.21,78.69,73,0,22.06
323,Dalaba,GN,10.69,-12.25,82.2,45,100,6.96
324,Okhotsk,RU,59.36,143.24,42.51,61,24,5.39
325,Neiafu,TO,-18.65,-173.98,86.0,79,20,11.41
326,Bonavista,CA,48.65,-53.11,30.99,88,80,1.01
327,Tokur,RU,53.13,132.9,34.95,54,12,3.94
328,Kviteseid,NO,59.4,8.49,33.01,93,0,2.15
329,Khadyzhensk,RU,44.42,39.54,34.5,85,0,0.92
330,Victor Harbor,AU,-35.55,138.62,68.31,52,75,17.22
331,Faya,SA,18.39,42.45,61.68,55,0,11.41
332,Arroio Grande,BR,-32.24,-53.09,68.7,97,76,7.96
333,Ugoofaaru,MV,5.67,73.0,84.45,100,44,5.61
334,Bethel,US,60.79,-161.76,37.99,47,1,18.34
335,Ostrovnoy,RU,68.05,39.51,25.68,98,68,3.49
336,Ekhabi,RU,53.51,142.97,30.72,100,88,13.44
337,Sevlievo,BG,43.03,25.1,48.11,100,90,6.93
338,Ponta do Sol,BR,-20.63,-46.0,65.82,91,64,2.93
339,Narsaq,GL,60.91,-46.05,32.0,73,20,2.24
340,Corrente,BR,-17.45,-44.68,67.53,90,20,2.71
341,Erdaojiang,CN,41.78,126.03,45.03,36,20,4.72
342,Ramgarh,IN,28.17,74.98,74.55,60,24,8.19
343,Mitchell,US,43.71,-98.03,57.65,87,90,8.05
344,Yongchang,CN,38.06,102.59,56.91,28,8,4.05
345,Xunchang,CN,28.45,104.71,76.17,46,0,1.81
346,Formosa,AR,-26.19,-58.17,64.4,93,0,4.7
347,Kikwit,CD,-5.04,18.82,74.1,92,68,3.04
348,Ta Khmau,KH,11.48,104.95,87.8,66,40,9.17
349,Faranah,GN,10.04,-10.74,76.35,77,80,13.78
350,Sorong,ID,-0.86,131.25,83.82,99,8,4.5
351,Sola,FI,62.78,29.36,23.22,73,0,3.36
352,Nioro,GM,13.79,-15.05,81.84,29,0,12.77
353,Cristalina,BR,-16.77,-47.61,70.23,90,12,4.38
354,Ulladulla,AU,-35.36,150.48,78.1,51,0,10.29
355,Koupela,BF,12.18,-0.35,78.42,65,76,2.93
356,Nikel,NO,69.41,30.21,28.4,79,68,9.17
357,Anloga,GH,5.79,0.9,82.4,88,40,13.87
358,Katsuura,JP,33.93,134.5,66.97,48,75,8.05
359,Mattru,SL,7.62,-11.83,77.52,92,0,3.27
360,Lubao,PH,14.94,120.6,90.97,55,40,6.93
361,Haimen,CN,31.87,121.18,80.11,52,0,12.77
362,Tokmak,UA,47.26,35.7,42.33,83,0,12.21
363,Bom Jardim,BR,-7.8,-35.59,73.4,94,75,4.7
364,Padang,ID,-0.92,100.36,87.8,66,40,3.36
365,Port-de-Bouc,FR,43.4,4.98,45.39,81,0,10.29
366,Northam,GB,51.04,-4.21,45.5,86,0,11.01
367,Lorengau,PG,-2.02,147.27,85.53,92,48,7.18
368,Bilibino,RU,68.06,166.44,24.42,69,0,3.71
369,Nantucket,US,41.28,-70.1,44.28,87,1,10.29
370,Khed Brahma,IN,24.03,73.05,83.1,36,0,4.94
371,Saint-Augustin,FR,44.83,-0.61,39.15,100,40,2.24
372,Madimba,CM,4.42,9.93,73.65,97,80,4.72
373,Priladozhskiy,RU,59.85,31.48,29.19,86,64,2.24
374,Bone,ID,-5.29,119.42,87.8,74,40,9.17
375,Kieta,PG,-6.22,155.63,82.92,95,80,5.5
376,Kropotkin,RU,45.43,40.58,44.01,77,0,10.42
377,Isfana,KG,39.84,69.53,59.0,87,32,15.66
378,Mount Gambier,AU,-37.83,140.78,64.4,59,90,17.22
379,Jarvenpaa,FI,60.47,25.09,29.07,75,0,4.7
380,Kargasok,RU,59.06,80.87,27.03,72,76,5.28
381,Masallatah,LY,32.62,14.0,49.8,91,12,5.73
382,Atasu,KZ,48.68,71.64,34.68,78,0,10.98
383,Salinas,US,36.67,-121.66,57.02,93,75,4.7
384,Moron,VE,10.49,-68.2,69.51,93,80,3.15
385,Nnewi,NG,6.02,6.92,75.81,88,44,6.06
386,Nishihara,JP,35.74,139.53,66.6,48,40,2.24
387,Pihani,IN,27.62,80.2,80.04,60,0,14.9
388,Bourail,NC,-21.57,165.5,78.78,63,24,9.53
389,Lamballe,FR,48.47,-2.52,45.68,87,90,11.41
390,Chuy,UY,-33.69,-53.46,62.04,91,88,4.61
391,Seljord,NO,59.48,8.63,29.93,93,0,2.15
392,Taoudenni,ML,22.68,-3.98,57.18,41,8,9.64
393,Ballyhaunis,IE,53.76,-8.77,38.08,99,56,2.93
394,Villa Rica,PE,-10.74,-75.27,66.36,99,100,0.92
395,Gondar,PT,41.82,-8.78,45.68,81,75,2.24
396,Ciudad Bolivar,VE,8.12,-63.55,79.86,67,32,16.8
397,Alice Springs,AU,-23.7,133.88,87.8,22,0,10.29
398,Burns Lake,CA,54.23,-125.76,41.16,52,32,7.07
399,Port Moresby,PG,-9.47,147.16,83.28,96,24,5.06
400,San Cristobal,EC,-0.39,-78.55,52.61,87,75,5.82
401,Yokadouma,CM,3.52,15.05,68.43,97,64,3.15
402,Messina,IT,38.19,15.55,54.91,87,75,1.12
403,Izhma,RU,65.01,53.91,27.75,91,24,5.39
404,Ketchikan,US,55.34,-131.65,52.43,53,90,6.93
405,Loreto,PY,-23.27,-57.32,65.73,92,68,6.62
406,Abdulino,RU,53.68,53.66,34.32,91,68,11.99
407,Harper,US,30.3,-99.24,68.68,88,75,4.7
408,Kasane,BW,-17.8,25.16,66.2,100,0,4.7
409,Alekseyevka,RU,53.25,50.49,39.2,100,75,8.95
410,Biak,ID,-0.91,122.88,85.44,83,76,2.15
411,Wilmington,US,39.75,-75.55,51.1,71,1,4.16
412,Teknaf,BD,20.86,92.31,84.0,75,12,3.04
413,Pacific Grove,US,36.62,-121.92,56.7,93,75,4.7
414,Tagbac,PH,7.09,125.16,87.8,66,40,13.87
415,Xichang,CN,27.88,102.25,62.76,44,0,1.92
416,Nabire,ID,-3.36,135.5,80.22,79,68,2.71
417,Requena,ES,39.49,-1.1,48.49,70,40,9.17
418,Tiksi,RU,71.64,128.87,30.72,72,0,6.96
419,Mujiayingzi,CN,42.12,118.78,41.16,50,76,5.17
420,Ucluelet,CA,48.94,-125.55,46.09,92,92,1.99
421,Isla Mujeres,MX,21.23,-86.73,78.4,78,40,13.87
422,Vasto,IT,42.12,14.71,47.34,93,36,5.82
423,Mapiripan,CO,2.89,-72.13,85.53,41,36,5.5
424,Louis Trichardt,ZA,-23.04,29.91,65.01,92,76,5.17
425,Alexandria,US,31.31,-92.44,72.1,94,90,8.05
426,Shieli,KZ,44.18,66.74,48.18,71,0,13.67
427,Klichka,RU,50.44,118.0,36.21,49,80,8.63
428,Sechura,PE,-5.56,-80.82,73.2,82,20,8.75
429,Cedar City,US,37.68,-113.06,46.26,49,1,4.7
430,Mogadishu,SO,2.04,45.34,82.29,100,0,12.66
431,Sistranda,NO,63.73,8.83,39.42,91,75,14.99
432,Vrangel,RU,42.73,133.08,40.26,85,0,15.23
433,Yatou,CM,3.63,9.81,81.75,100,68,5.73
434,Mae Sai,MM,20.44,99.89,84.76,69,0,4.7
435,Kaihua,CN,29.14,118.41,73.65,72,0,3.38
